Nome,Preço Alvo (R$),Preço Atual (R$),Status,URL Steam,Data de Criação
"","0","","Inativo","","2025-10-24T01:26:46.882Z"
"","0","","Inativo","","2025-10-24T01:25:21.186Z"
"","0","","Inativo","","2025-10-24T01:23:47.948Z"
"","0","","Inativo","","2025-10-24T01:23:36.061Z"
"","0","","Inativo","","2025-10-24T01:22:38.353Z"
"","0","","Inativo","","2025-10-24T01:19:36.410Z"
"","0","","Inativo","","2025-10-24T01:18:21.093Z"
"","0","","Inativo","","2025-10-24T01:15:35.787Z"
"","0","","Inativo","","2025-10-24T01:15:22.637Z"
"","0","","Inativo","","2025-10-24T01:08:41.593Z"
"","0","","Inativo","","2025-10-24T01:02:41.056Z"
"","0","","Inativo","","2025-10-24T01:00:47.148Z"
"","0","","Inativo","","2025-10-24T00:58:50.896Z"
"","0","","Inativo","","2025-10-24T00:57:19.584Z"
"","0","","Inativo","","2025-10-24T00:56:40.885Z"
"","0","","Inativo","","2025-10-24T00:56:00.266Z"
"","0","","Inativo","","2025-10-24T00:55:08.399Z"
"","0","","Inativo","","2025-10-24T00:54:30.448Z"
"","0","","Inativo","","2025-10-24T00:53:54.033Z"
"","0","","Inativo","","2025-10-24T00:53:04.293Z"